Book ID,Title,Author,Category,Price (Rs.),ISBN,Cover Image URL,In Stock,View Count,Rating,Search Tags,Search Count,Branch,Current Stock,Daily Sales,Branch Demand Score,Trend Score,Trend Label,,,,,,,,
REAL-001,2048,ලැන්ටන් සිල්වා,නවකතා (Sci-Fi Novel),1200,978-955-31-2954-3,/images/books/2048.jpg,TRUE,342,4.9,"2048, ලැන්ටන් සිල්වා, විද්‍යා ප්‍රබන්ධ",86,Galle,74,37,150.46,101.932,High Demand,,,,,,,,
REAL-002,ඔලිම්පස්හි රුධිරය (The Heroes of Olympus),රික් රියෝඩන්,යොවුන් ප්‍රබන්ධ (Fantasy),2250,978-624-5519-22-4,/images/books/olympus.jpg,TRUE,856,3.7,"ඔලිම්පස්හි රුධිරය, රික් රියෝඩන්, පරිවර්තන",214,Kandy,50,28,161.48,114.016,High Demand,,,,,,,,
REAL-003,රුධිර බන්ධන,නිශාදි විපුලසේන,නවකතා (Novel),700,978-624-5566-01-3,/images/books/rudhira_bandhana.jpg,TRUE,120,3.8,"රුධිර බන්ධන, නිශාදි විපුලසේන, නවකතා",30,Galle,89,36,119.6,72.82,Moderate Demand,,,,,,,,
REAL-004,ආයෙත් වරක්,ප්‍රබෝධනී වදිරිසිංහ,නවකතා (Fiction Novel),1900,978-624-6808-02-0,/images/books/ayeth_warak.jpg,TRUE,540,4.6,"ආයෙත් වරක්, ප්‍රබෝධනී වදිරිසිංහ, ආදර කතා",135,Galle,67,3,95.2,83.84,High Demand,,,,,,,,
REAL-005,රුධිර මායා (The Dangerous Girl),ආර්. එල්. ස්ටයින් (පරිවර්තනය: සුදත් රොහාන්),ත්‍රාසජනක (Vampire Story),1300,978-624-5865-78-9,/images/books/rudhira_maya.jpg,TRUE,920,3.5,"රුධිර මායා, සුදත් රොහාන්, ත්‍රාසජනක, Vampire",230,Kandy,41,11,130.6,102.82,High Demand,,,,,,,,
REAL-006,ධවල ගොසරෑවිය,අජිත් පී. ධර්මසූරිය,නවකතා (Novel),1590,978-955-31-1923-0,/images/books/dhawala.jpg,TRUE,210,4.3,"ධවල ගොසරෑවිය, අජිත් පී ධර්මසූරිය",53,Kandy,94,36,131.9,83.88,High Demand,,,,,,,,
REAL-007,කොන් කෝල්,කේතකී වික්‍රමාරච්චි,රහස් පරීක්ෂක (Crime Thriller),1000,978-624-5877-10-1,/images/books/con_call.jpg,TRUE,670,3.8,"කොන් කෝල්, කේතකී වික්‍රමාරච්චි, රහස් පරීක්ෂක",168,Galle,44,27,145.7,103.74,High Demand,,,,,,,,
REAL-008,බුද්ධස්තූප,පූජ්‍ය ගංගොඩවිල සෝම හිමි,බෞද්ධ දර්ශනය (Buddhism),500,N/A,/images/books/buddhasthupa.jpg,TRUE,450,3.9,"බුද්ධස්තූප, ගංගොඩවිල සෝම හිමි, බෞද්ධ",113,Galle,99,2,79.1,66.02,Moderate Demand,,,,,,,,
REAL-009,"හොල්මන්, ආවේශ සහ යළි උපත (You Cannot Die)",ඉයන් කරි (පරිවර්තනය: භද්‍රජි මහින්ද ජයතිලක),මනෝවිද්‍යා (Psychology),650,978-955-671-215-5,/images/books/you_cannot_die.jpg,TRUE,312,4.8,"හොල්මන්, භද්‍රජි මහින්ද ජයතිලක, මනෝවිද්‍යා",78,Kandy,57,19,110.96,86.132,High Demand,,,,,,,,
REAL-010,1981 යාපනය ගිනිලෑම,පරිවර්තන කෘතියක්,දේශපාලන / ඉතිහාසය (History),800,978-955-95493-1-4,/images/books/1981_yapanaya.jpg,TRUE,520,5,"1981 යාපනය ගිනිලෑ, ඉතිහාසය, දේශපාලන",130,Galle,70,32,155.6,110.32,High Demand,,,,,,,,
REAL-011,විෂ කන්‍යා (Poison's Kiss),බ්‍රීආනා ශීල්ඩ්ස් (පරිවර්තනය: නිම්මි මුදිතා හේරත්),යොවුන් ප්‍රබන්ධ (Fantasy),1300,978-955-691-350-7,/images/books/wisha_kanya.jpg,TRUE,680,3.8,"විෂ කන්‍යා, නිම්මි මුදිතා හේරත්, පරිවර්තන",170,Kandy,29,35,162.4,112.18,High Demand,,,,,,,,
REAL-012,දඩයම් බල්ලෝ,පරිවර්තන නවකතා,රහස් පරීක්ෂක (Thriller),1500,978-624-5572-38-0,/images/books/dadayam_ballo.jpg,TRUE,890,4,"දඩයම් බල්ලෝ, රහස් පරීක්ෂක, ත්‍රාසජනක",223,Galle,65,19,149.3,111.06,High Demand,,,,,,,,
REAL-013,මනුසත් විමන,විකසිත ප්‍රකාශන,ගුප්ත කතා (Mystery),1200,978-955-02252-8-6,/images/books/maya_wana.jpg,TRUE,230,3.7,"මනුසත් විමන, ගුප්ත කතා",58,Kandy,90,40,135.5,81.5,High Demand,,,,,,,,
REAL-014,2010,ආතර් සී. ක්ලාක් (පරිවර්තනය: චන්දන වීරසිංහ),විද්‍යා ප්‍රබන්ධ (Science Fiction),850,978-624-5712-10-6,/images/books/2010_clarke.jpg,TRUE,1050,4.1,"2010, ආතර් සී ක්ලාක්, විද්‍යා ප්‍රබන්ධ",263,Kandy,66,19,163.1,121.92,High Demand,,,,,,,,
REAL-015,Crown of Midnight,සාරා ජේ. මාස් (Sarah J. Maas),යොවුන් ප්‍රබන්ධ (Fantasy),2300,978-624-5663-48-4,/images/books/crown_of_midnight.jpg,TRUE,1120,4.5,"Crown of Midnight, සාරා ජේ මාස්, පරිවර්තන, Fantasy",280,Kandy,72,25,184.6,135.12,High Demand,,,,,,,,
REAL-008,ගුප්ත දඩබිම,මොනිකා පුෂ්පකුමාරි,නවකතා (Novel),850,978-624-6103-28-6,/images/books/gupta_dadabima.jpg,TRUE,145,4.4,"ගුප්ත දඩබිම, මොනිකා පුෂ්පකුමාරි",36,Kandy,35,36,127.55,86.91,High Demand,,,,,,,,
REAL-009,ආශා විල් තෙර,තරංගා දිසානායක,නවකතා (Novel),1150,978-955-1116-15-6,/images/books/asha_wil_thera.jpg,TRUE,320,5,"ආශා විල් තෙර, තරංගා දිසානායක",80,Colombo,85,28,131.6,93.42,High Demand,,,,,,,,
REAL-010,මන්දාරම් රාත්‍රිය,ඩී. එම්. අනුර දිසානායක,රහස් පරීක්ෂක (Detective Novel),1650,978-624-5829-10-1,/images/books/mandaram_rathriya.jpg,TRUE,890,5,"මන්දාරම් රාත්‍රිය, අනුර දිසානායක, රහස් පරීක්ෂක",223,Kandy,82,32,185.3,131.76,High Demand,,,,,,,,
REAL-011,උන්මාද තොටමුණ,රූපා ශ්‍රියානි ඒකනායක,නවකතා (Novel),1800,978-624-5638-96-3,/images/books/unmada_nothamuna.jpg,TRUE,410,4.2,"උන්මාද තොටමුණ, රූපා ශ්‍රියානි ඒකනායක",103,Colombo,42,3,80.9,73.68,Moderate Demand,,,,,,,,
REAL-012,සික්,ආසිරි මුණසිංහ,නවකතා (Novel),1900,978-955-680-826-1,/images/books/sik.jpg,TRUE,650,4.8,"සික්, ආසිරි මුණසිංහ",163,Colombo,43,37,174.1,122.62,High Demand,,,,,,,,
REAL-013,කොළඹ (Colombo),මොහාන් රාජ් මඩවල,නවකතා (Novel),1650,978-955-4690-06-6,/images/books/colombo.jpg,TRUE,1200,3.6,"කොළඹ, මොහාන් රාජ් මඩවල, Colombo",300,Galle,72,23,178,127.6,High Demand,,,,,,,,
REAL-014,පරිසියා,අසංක රණතුංග,නවකතා (Novel),600,978-955-3490-08-7,/images/books/paradiya.jpg,TRUE,230,4.5,"පරිසියා, අසංක රණතුංග",58,Colombo,21,3,69.5,68.4,Moderate Demand,,,,,,,,
REAL-015,වෛරයේ අග්නි ධාරා,සිතුමිණි පලිපාන,නවකතා (Novel),1300,978-624-99551-7-2,/images/books/vairaye_agni.jpg,TRUE,420,3.6,"වෛරයේ අග්නි ධාරා, සිතුමිණි පලිපාන, ආදර කතා",105,Galle,23,40,149.6,98.52,High Demand,,,,,,,,
REAL-016,කුඩා කවුළු ඈත පෙනෙන,සරත් විජේසූරිය,නවකතා (Novel),850,978-624-6708-28-3,/images/books/kuda_kawulu.jpg,TRUE,310,3.7,"කුඩා කවුළු ඈත පෙනෙන, සරත් විජේසූරිය",78,Kandy,20,15,91.9,73.38,Moderate Demand,,,,,,,,
REAL-017,පුද්ගලිකයි රහසිගතයි (The Secret Files of Sherlock Holmes),චන්දන මෙන්ඩිස් (පරිවර්තනය),රහස් පරීක්ෂක (Detective),990,955-97776-4-5,/images/books/pudgalikayi_rahasigathayi.jpg,TRUE,890,5,"පුද්ගලිකයි රහසිගතයි, චන්දන මෙන්ඩිස්, ශර්ලොක් හෝම්ස්, Sherlock Holmes",223,Kandy,90,5,131.3,109.36,High Demand,,,,,,,,
REAL-018,මං තරු මං දිගේ,වරුණි වාසවදත්තා දේශප්‍රිය,නවකතා (Novel),2400,978-624-5558-84-1,/images/books/tharu_man_dige.jpg,TRUE,560,4.6,"මං තරු මං දිගේ, වරුණි වාසවදත්තා දේශප්‍රිය",140,Kandy,57,10,110.8,91.66,High Demand,,,,,,,,
REAL-019,මාරුතයේ ගීතය,නිකිනි නවීනා,ත්‍රාසජනක (Thriller),1990,978-624-5558-59-9,/images/books/marakaye_geethaya.jpg,TRUE,670,4.1,"මාරුතයේ ගීතය, නිකිනි නවීනා, ත්‍රාසජනක",168,Colombo,75,6,106.7,87.44,High Demand,,,,,,,,
REAL-020,යදම්,දිනිති තරුමිණි,නවකතා (Novel),2500,978-624-6168-43-8,/images/books/yadam.jpg,TRUE,280,4.5,"යදම්, දිනිති තරුමිණි",70,Galle,81,24,115.4,82.18,High Demand,,,,,,,,
REAL-021,බහිරව රණ ශූරයෝ,මංජුල දිසානායක (පරිවර්තනය),පරිවර්තන (Translation),1450,978-955-697-062-3,/images/books/bahirawa_rana.jpg,TRUE,450,4.8,"බහිරව රණ ශූරයෝ, මංජුල දිසානායක, පරිවර්තන",113,Galle,62,7,98.1,84.52,High Demand,,,,,,,,
REAL-022,මන් දෝත පෑවාට,සමුද්‍රි ජයසිරිගේ,නවකතා (Novel),790,978-624-5671-14-4,/images/books/man_dotha.jpg,TRUE,190,3.5,"මන් දෝත පෑවාට, සමුද්‍රි ජයසිරිගේ",48,Galle,21,36,122.3,80.36,High Demand,,,,,,,,
REAL-023,රෝසමාලී,ශමෙල් ජයකොඩි,නවකතා (Novel),1470,978-955-671-015-1,/images/books/rosamali.jpg,TRUE,340,4,"රෝසමාලී, ශමෙල් ජයකොඩි",85,Galle,73,19,105.2,76.64,Moderate Demand,,,,,,,,
REAL-024,සුසුරන් 2,පියදාස රත්නසිංහ (පරිවර්තනය),පරිවර්තන (Translation),1250,978-624-5846-29-0,/images/books/susuran_2.jpg,TRUE,850,4.2,"සුසුරන් 2, පියදාස රත්නසිංහ, පරිවර්තන, ජපන්",213,Galle,39,4,118.1,101.62,High Demand,,,,,,,,
REAL-025,බිනර මල,ශාලිනි වීරකෝන්,නවකතා (Novel),1730,978-624-5671-47-2,/images/books/binara_mala.jpg,TRUE,420,4.4,"බිනර මල, ශාලිනි වීරකෝන්, ආදර කතා",105,Kandy,68,38,153.6,102.02,High Demand,,,,,,,,
REAL-026,සීතල පෙම (The Cold Love),චේතනා ද සිල්වා,නවකතා (Novel),1200,978-624-5671-18-2,/images/books/seethala_pema.jpg,TRUE,380,3.9,"සීතල පෙම, චේතනා ද සිල්වා, The Cold Love",95,Colombo,60,11,91.4,72.78,Moderate Demand,,,,,,,,
REAL-027,එවා මෙහේ බෑ මචං,පිනසිරි දඩල්ලගේ,විචාර (Non-fiction / Criticism),750,978-955-97643-5-9,/images/books/ewa_mehe_ba.jpg,TRUE,210,4.4,"එවා මෙහේ බෑ මචං, පිනසිරි දඩල්ලගේ, විචාර",53,Galle,54,18,96.9,74.68,Moderate Demand,,,,,,,,
REAL-028,අපෙන් එකෙක්,මොනිකා පුෂ්ප කුමාරි,නවකතා (Novel),1000,978-624-6103-08-8,/images/books/apen_ekek.jpg,TRUE,315,3.5,"අපෙන් එකෙක්, මොනිකා පුෂ්ප කුමාරි",79,Colombo,61,40,140.25,87.15,High Demand,,,,,,,,
REAL-029,උකුස්සෙකු අහසේ,කුලසේන ෆොන්සේකා,නවකතා (Novel),700,978-624-99022-1-3,/images/books/ukusseku_ahase.jpg,TRUE,540,4.6,"උකුස්සෙකු අහසේ, කුලසේන ෆොන්සේකා",135,Kandy,46,5,99.2,87.54,High Demand,,,,,,,,
REAL-030,බිහිසුණු මැදියම,අරුණ චරංග දිසානායක,ත්‍රාසජනක (Thriller),1100,978-624-5829-09-5,/images/books/bihisunu_madiyama.jpg,TRUE,340,3.8,"බිහිසුණු මැදියම, අරුණ චරංග දිසානායක, ත්‍රාසජනක",85,Kandy,95,25,115.2,76.84,Moderate Demand,,,,,,,,
REAL-031,ග්ලැසේරා,කේෂාන් හරේෂු,ත්‍රාසජනක (Thriller),1300,978-624-5572-01-4,/images/books/glasera.jpg,TRUE,410,3.5,"ග්ලැසේරා, ත්‍රාසජනක",103,Kandy,33,19,105.9,78.98,Moderate Demand,,,,,,,,
REAL-032,සයිකෝ (Psycho),සුසිත රුවන්,නවකතා (Fiction),1800,978-624-5771-19-4,/images/books/psycho.jpg,TRUE,520,5,"සයිකෝ, සුසිත රුවන්, Psycho",130,Kandy,94,10,111.6,90.32,High Demand,,,,,,,,
REAL-033,අනාගතේ පැතිකඩක් (Profiles of the Future),ආතර් සී. ක්ලාක් (පරිවර්තනය: එස්. එම්. බන්දුසීල),විද්‍යා (Science) / පරිවර්තන,600,978-624-5712-31-1,/images/books/anagathe_pathikadak.jpg,TRUE,890,3.9,"අනාගතේ පැතිකඩක්, ආතර් සී ක්ලාක්, Arthur C. Clarke, විද්‍යා",223,Galle,65,9,128.3,101.86,High Demand,,,,,,,,
REAL-034,WISH (විෂ්),සමීර ඒකනායක,නවකතා (Novel),1100,978-624-5572-83-0,/images/books/wish.jpg,TRUE,275,4.2,"WISH, විෂ්, සමීර ඒකනායක",69,Colombo,29,14,92.05,75.51,Moderate Demand,,,,,,,,
REAL-035,විකෘති,ධනු ජයසුන්දර,රහස් පරීක්ෂක (Crime / Detective),775,978-624-5577-08-7,/images/books/vikurthi.jpg,TRUE,430,4.7,"විකෘති, ධනු ජයසුන්දර, රහස් පරීක්ෂක, Crime",108,Kandy,69,13,107.5,86.2,High Demand,,,,,,,,
REAL-037,නිමාවක නිල් පැය,මදාරා අබේසිංහ (පරිවර්තනය),ත්‍රාසජනක (Thriller / Mystery),2000,978-624-6570-32-3,/images/books/nimawaka_nil_paya.jpg,TRUE,480,4.3,"නිමාවක නිල් පැය, මදාරා අබේසිංහ, Nimawaka Nil Paya",120,Colombo,44,21,123.4,93.28,High Demand,,,,,,,,
REAL-038,නැන්දම්මාගේ ඩයරිය,කල්පනා කස්තුරිආරච්චි,කෙටිකතා (Short Stories),600,978-624-9695-78-8,/images/books/nendammage_dayariya.jpg,TRUE,215,4.1,"නැන්දම්මාගේ ඩයරිය, කල්පනා කස්තුරිආරච්චි, Nendammage Dayariya",54,Galle,78,5,68.25,58.55,Moderate Demand,,,,,,,,
REAL-039,අඹ යහළුවෝ,ටී. බී. ඉලංගරත්න,නවකතා (Novel),658.75,978-955-4682-00-9,/images/books/amba_yahaluwo_new.jpg,TRUE,1500,4.8,"අඹ යහළුවෝ, ටී බී ඉලංගරත්න, Amba Yahaluwo",375,Galle,51,11,190,152.8,High Demand,,,,,,,,
REAL-040,තඹර තටාකය (Thabara Thatakaya),සන්ධ්‍යා කුමුදුනී සුබසිංහ,නවකතා (Novel),697,9556759328,/images/books/thabara_thatakaya.jpg,TRUE,310,4.7,"තඹර තටාකය, Thabara Thatakaya, සන්ධ්‍යා කුමුදුනී සුබසිංහ",78,Colombo,52,20,111.9,86.18,High Demand,,,,,,,,
REAL-041,කළු රෝස (Kalu Rosa),මනීෂි ගමගේ,Fantasy / Romance / Novel,1584,978-624-6570-64-4,/images/books/kalu_rosa.jpg,TRUE,520,3.7,"කළු රෝස, Kalu Rosa, මනීෂි ගමගේ, Fantasy",130,Kandy,44,13,104.6,82.12,High Demand,,,,,,,,
REAL-042,370 යානයේ අබිරහස (370 Yanaye Abirahasa),භද්‍රජී මහින්ද ජයතිලක,Novel / Mystery / Suspense,960,978-624-6570-68-2,/images/books/370_yanaye_abirahasa.jpg,TRUE,890,4.9,"370 යානයේ අබිරහස, 370 Yanaye Abirahasa, භද්‍රජී මහින්ද ජයතිලක, Mystery",223,Galle,32,39,198.3,141.16,High Demand,,,,,,,,
REAL-043,ඒලියන් එක්ස් (Alien X),සිනේර රිද්මික,Science Fiction (Sci-Fi) / Novel,1200,978-624-6570-58-3,/images/books/alien_x.jpg,TRUE,430,4.2,"ඒලියන් එක්ස්, Alien X, සිනේර රිද්මික, Sci-Fi",108,Kandy,68,22,120.5,87.5,High Demand,,,,,,,,
REAL-044,සේද සලකුණ (Seda Salakuna),කවීෂ නඳුන් කග්ගොඩආරච්චි,Detective / Mystery / Translation,1800,978-624-6570-71-2,/images/books/seda_salakuna.jpg,TRUE,275,4.1,"සේද සලකුණ, Seda Salakuna, කවීෂ නඳුන් කග්ගොඩආරච්චි, Detective",69,Colombo,64,9,81.05,66.81,Moderate Demand,,,,,,,,
REAL-045,මුන්ෆ්ලවර් මඩර්ස් (Moonflower Murders),ගයාන් සම්පත් වනිගනෙත්ති (පරිවර්තනය),Thriller / Fiction / Mystery / Suspense,1960,978-624-6570-47-7,/images/books/moonflower_murders.jpg,TRUE,420,3.8,"මුන්ෆ්ලවර් මඩර්ස්, Moonflower Murders, ගයාන් සම්පත් වනිගනෙත්ති",105,Colombo,83,18,107.6,77.32,Moderate Demand,,,,,,,,
REAL-046,රක්ත ගිවිසුම (Raktha Givisuma),නිලන්ති එදිරිවීර (පරිවර්තනය),Thriller / Mystery / Psychological Thriller,1600,978-624-6570-67-5,/images/books/raktha_givisuma.jpg,TRUE,380,3.8,"රක්ත ගිවිසුම, Raktha Givisuma, නිලන්ති එදිරිවීර",95,Colombo,41,16,100.4,77.48,Moderate Demand,,,,,,,,
REAL-047,ඒක පුදුම ආදරයක් (Eka Puduma Adarayak),පාලිත ජයකොඩි,Romance / Thriller,400,9.79E+12,/images/books/eka_puduma_adarayak.jpg,TRUE,150,4.5,"ඒක පුදුම ආදරයක්, Eka Puduma Adarayak, පාලිත ජයකොඩි",38,Galle,30,18,93.1,74.62,Moderate Demand,,,,,,,,
REAL-048,මෙහෙමත් ආදරයක් (Mehemath Adarayak),දිලීප් ප්‍රසන්න සෙනෙවිරත්න,Romance,960,9.79E+12,/images/books/mehemath_adarayak.jpg,TRUE,210,3.7,"මෙහෙමත් ආදරයක්, Mehemath Adarayak, දිලීප් ප්‍රසන්න සෙනෙවිරත්න",53,Colombo,43,11,75.9,61.78,Moderate Demand,,,,,,,,
REAL-049,සැඟවුණු ජීවිත (Sangawunu Jeevitha),සවින්දි ආරියතිලක (පරිවර්තනය),Thriller / Translation,1600,978-624-6570-56-9,/images/books/sangawunu_jeevitha.jpg,TRUE,330,3.8,"සැඟවුණු ජීවිත, Sangawunu Jeevitha, සවින්දි ආරියතිලක",83,Colombo,32,16,96.5,75.4,Moderate Demand,,,,,,,,
REAL-050,පලිඟු ඇස (Palingu Eas),ප්‍රනේශිකා ප්‍රනාන්දු,නවකතා (Novel),850,9.79E+12,/images/books/palingu_eas.jpg,FALSE,460,4.2,"පලිඟු ඇස, Palingu Eas, ප්‍රනේශිකා ප්‍රනාන්දු",115,Galle,59,12,102.8,82.16,High Demand,,,,,,,,
