Book_ID,Book_Name,Author,ISBN,Category
BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel
BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel
BK003,Gamperaliya,Martin Wickramasinghe,978-955-1234-02-9,Novel
BK004,Madol Duwa,Martin Wickramasinghe,978-955-1234-03-6,Children's
BK005,Senkottan,Mahinda Prasad Masimbula,978-955-3031-15-8,Novel
BK006,Malagiya Attho,Ediriweera Sarachchandra,978-955-9012-05-4,Novel
BK007,Amba Yaluwo,T. B. Ilangaratne,978-955-8877-66-5,Novel
BK008,Guru Geethaya,Chingiz Aitmatov (Trans.),978-955-6543-20-1,Translated Classic
BK009,Sanda Gawa Gini,Sumithra Rahubadda,978-955-4422-33-7,Novel
BK010,Karumakkarayo,Gunadasa Amarasekara,978-955-5678-10-1,Novel
BK011,Yali Upannemi,Gunadasa Amarasekara,978-955-5678-11-8,Novel
BK012,Vilambitha,Mahinda Prasad Masimbula,978-955-3031-16-5,Novel
BK013,Kaliyugaya,Martin Wickramasinghe,978-955-1234-04-3,Novel
BK014,Yuganthaya,Martin Wickramasinghe,978-955-1234-05-0,Novel
BK015,Bavatharanaya,Martin Wickramasinghe,978-955-1234-06-7,Novel
BK016,Lolita,Vladimir Nabokov (Trans.),978-955-3022-10-1,Translated Classic
BK017,Aprasanna Kathavak,Karunasena Jayalath,978-955-1100-33-5,Novel
BK018,Golu Hadawatha,Karunasena Jayalath,978-955-1100-34-2,Novel
BK019,Gahanu Lamai,Karunasena Jayalath,978-955-1100-35-9,Novel
BK020,Kulakumariya,T. B. Ilangaratne,978-955-8877-67-2,Novel
BK021,Lasanda,T. B. Ilangaratne,978-955-8877-68-9,Novel
BK022,Maname,Ediriweera Sarachchandra,978-955-9012-06-1,Drama
BK023,Sinhabahu,Ediriweera Sarachchandra,978-955-9012-07-8,Drama
BK024,Walmath Vee Atharaman Veemi,Simon Navagattegama,978-955-7733-11-2,Novel
BK025,Sansaranyaye Dadayakkara,Simon Navagattegama,978-955-7733-12-9,Novel
BK026,Kavikandarawa,Mahinda Prasad Masimbula,978-955-3031-17-2,Poetry
BK027,Dodamlu Iwura,Sumithra Rahubadda,978-955-4422-34-4,Novel
BK028,Bumuthurunu,Sumithra Rahubadda,978-955-4422-35-1,Novel
BK029,Podi Hamuduruwo,Sybil Wettasinghe,978-955-2011-44-3,Children's
BK030,Kuda Hora,Sybil Wettasinghe,978-955-2011-45-0,Children's
BK031,Maria Cylonica,P. B. Jayasekara,978-955-6611-22-3,Novel
BK032,Atawaka Putthu,Liyanage Amarakeerthi,978-955-3044-55-4,Novel
BK033,Kurulu Hadawatha,Liyanage Amarakeerthi,978-955-3044-56-1,Novel
BK034,Gini Avi saha Gini Keli,Anura Horatious,978-955-9988-11-2,Novel
BK035,Daskon,Wimalaratne Kumaragama,978-955-2233-44-5,Poetry
BK036,Pethigomara,K. Jayatillake,978-955-1555-11-0,Novel
BK037,Charitha Thunak,K. Jayatillake,978-955-1555-12-7,Novel
BK038,Parajithayo,Siri Gunasinghe,978-955-1100-23-6,Novel
BK039,Rosa Malak Mata Denna,Shanthi Dissanayake,978-955-6677-88-1,Novel
BK040,Paradal,Shanthi Dissanayake,978-955-6677-89-8,Novel
BK041,Girikulu,Shanthi Dissanayake,978-955-6677-90-4,Novel
BK042,Sakkarang,Prasanna Vithanage (Adapt.),978-955-3322-11-9,Drama
BK043,Bhatti,Edward Mallawaarachchi,978-955-5544-33-2,Novel
BK044,Sihina Kumari,Edward Mallawaarachchi,978-955-5544-34-9,Novel
BK045,Adaraneeya Wasthuwe,Upul Shantha Sannasgala,978-955-8811-22-5,Novel
BK046,Warna,Upul Shantha Sannasgala,978-955-8811-23-2,Poetry
BK047,Amma,Maxim Gorky (Trans.),978-955-6655-44-1,Translated Classic
BK048,Anna Karenina,Leo Tolstoy (Trans.),978-955-6655-45-8,Translated Classic
BK049,Post-Modernism,Various,978-955-1212-12-1,Academic
BK050,Mahavamsa,Mahanama Thera,978-955-0011-22-3,Historical/Religious
BK051,Saddharmaratnavaliya,Dharmasena Thera,978-955-0011-23-0,Historical/Religious
BK052,අනාගත අහස,මාර්ටින් වික්‍රමසිංහ (පරිවර්තනය),978-147-1385-34-4,Historical/Religious
BK053,මිටියාවත සහ කාලය,"ජෝන් ෂෝර්ස් (John Shors), පරිවර්තනය: ප්‍රදීප් කුමාර බාලසූරිය (Translation: Pradeep Kumara Balasuriya)",978-976-3071-42-3,Horror
BK054,රහස සහ කතාව,පවනි උමයංගනා (Pawani Umayangana),978-476-5849-54-7,Non-fiction
BK055,ඇහි පියන් ඇහැරිලා (Ahi Piyan Aharila),මහින්ද ප්‍රසාද් මසිඹුල,978-955-098-003-1,Poetry
BK056,ගමන සහ කාලය,ප්‍රේමකීර්ති රණතුංග,978-316-8963-96-1,Short Stories
BK057,කොළඹ කන්ද,Michael Crichton (පරිවර්තනය: සුදත් රොහාන්),978-645-5531-58-3,Poetry
BK058,වසන්තය සහ මිටියාවත,තරංගා දිසානායක,978-630-6739-38-7,Academic
BK059,370 යානයේ අබිරහස (370 Yanaye Abirahasa),භද්‍රජී මහින්ද ජයතිලක,978-624-6570-68-2,Mystery
BK060,පර්සි ජැක්සන් සහ වංගිරියේ සටන,රික් රියෝඩන් (පරි. සවින්දි ආරියතිලක),978-955-697-089-0,Fantasy
BK061,ආලෝකයේ සමිඳාණෝ (Alokaye Samindano - Lord of Light),රොජර් සෙලාස්නි - පරි. පුෂ්ප රංජන් විජේසිංහ,978-624-6570-11-8,Sci-Fi
BK062,මිනිසා සහ සෙවනැලි,"කර්ට් වොනෙගට් (Kurt Vonnegut), පරිවර්තනය: ගාමිණී වියන්ගොඩ (Translation: Gamini Viyangoda)",978-673-1310-88-3,Psychology
BK063,හේඩීස්ගේ දෙවොල (Hadesge Devola),රික් රයෝර්ඩන් - පරි. රූපේනි මානිංගමුව,978-955-697-343-3,Young Adult
BK064,2010,ආතර් සී. ක්ලාක් (පරිවර්තනය: චන්දන වීරසිංහ),978-624-5712-10-6,Sci-Fi
BK065,මන්දාරම් රාත්‍රිය,ඩී. එම්. අනුර දිසානායක,978-624-5829-10-1,Mystery
BK066,පරණ මාලිගාව,ක්‍රිස් කුස්නෙස්කි (පරිවර්තනය),978-726-5125-19-4,Horror
BK067,අනාගතේ පැතිකඩක් (Profiles of the Future),ආතර් සී. ක්ලාක් (පරිවර්තනය: එස්. එම්. බන්දුසීල),978-624-5712-31-1,Sci-Fi
BK068,දඩයම් බල්ලෝ,පරිවර්තන නවකතා,978-624-5572-38-0,Thriller
BK069,අදිසි අනතුර (Adisi Anathura - The Crash),ෆ්‍රීඩා මැක්ෆැඩන් - පරි. නයනතාරා පිලපිටිය,978-624-6570-48-4,Thriller
BK070,Crown of Midnight,සාරා ජේ. මාස් (Sarah J. Maas),978-624-5663-48-4,Fantasy
BK071,සුළං ගංගාව,පියදාස රත්නසිංහ (පරිවර්තනය),978-935-1789-28-8,Academic
BK072,ගීතය සහ මාලිගාව,එරන්ද ගිනිගේ (Eranda Ginige),978-616-9581-88-7,Psychology
BK073,ගමන සහ සෙවනැලි,"වික්ටෝරියා හෝල්ට් (Victoria Holt), පරිවර්තනය: කෝශලී සිරිචන්ද්‍ර (Translation: Koshalee Sirichandra)",978-477-2613-24-8,Horror
BK074,එවා මෙහේ බෑ මචං,පිනසිරි දඩල්ලගේ,978-955-97643-5-9,Non-fiction
BK075,"හොල්මන්, ආවේශ සහ යළි උපත (You Cannot Die)",ඉයන් කරි (පරිවර්තනය: භද්‍රජි මහින්ද ජයතිලක),978-955-671-215-5,Psychology
BK076,සෙංකොට්ටං (Senkottan),මහින්ද ප්‍රසාද් මසිඹුල,978-955-098-000-0,Novel
BK077,අතීත මිටියාවත,ඊනිඩ් බ්ලයිටන් (Enid Blyton),978-845-3000-71-2,Children's
BK078,සිහිනය සහ සෙවනැලි,"ස්ටෙෆනි ගාබර් (Stephanie Garber), පරිවර්තනය: කෝශලී සිරිචන්ද්‍ර (Translation: Koshalee Sirichandra)",978-748-7074-58-5,Historical/Religious
BK079,හැරී පොටර් සහ රහස් කුටිය,ජේ. කේ. රෝලිං - පරි. අභය හේවාවසම්,978-955-573-623-7,Translation
BK080,විකෘති (Vikurthi),සෝමලතා සුබසිංහ,978-955-428-430-2,Drama
BK081,නැන්දම්මාගේ ඩයරිය,කල්පනා කස්තුරිආරච්චි,978-624-9695-78-8,Short Stories
BK082,හැරී පොටර් සහ අස්කබාන්හි සිරකරු,ජේ. කේ. රෝලිං - පරි. අභය හේවාවසම්,978-955-671-187-5,Translation
BK083,පර්සි ජැක්සන් සහ රාක්ෂ සයුර,රික් රියෝඩන් (පරි. සවින්දි ආරියතිලක),978-955-697-090-0,Fantasy
BK084,විභාග ජය ගැනීමේ රහස (Vibhaga Jaya Ganeeme Rahasa),ප්‍රවීන් රන්දෙනිය,978-624-97120-5-0,Academic
BK085,දික්තල කාලගෝල (Diktala Kalagola),පුණ්‍යසේන ගුණසිංහ,978-955-9377-71-9,Drama
BK086,නැන්සි කෲ: ටෙඩි බෙයාර් අබිරහස,කැරොලයින් කීන්,978-955-657-006-8,Translation
BK087,කතාව සහ සිහිනය,ක්‍රිස් කුස්නෙස්කි (පරිවර්තනය),978-566-9308-23-4,Short Stories
BK088,අඹ යහළුවෝ,ටී. බී. ඉලංගරත්න,978-955-4682-00-9,Novel
BK089,මායා අහස,දිනිති තරුමිණි,978-222-3861-35-8,Young Adult
BK090,අනාගත නගරය,පරිවර්තනය: චන්දන මෙන්ඩිස් (Chandana Mendis),978-587-7471-56-2,Drama
BK091,හැරී පොටර් සහ ෆීනික්ස් නිකාය,ජේ. කේ. රෝලිං - පරි. අභය හේවාවසම්,978-955-573-951-1,Translation
BK092,සැඟවුණු රහස,රොජර් ලී මැක්බ්‍රයිඩ් (Roger Lea MacBride) - පරිවර්තනය: චිත්‍රා අමරසේකර,978-745-6661-48-1,Historical/Religious
BK093,සෙවනැලි සහ මාලිගාව,පරිවර්තනය: චන්දන මෙන්ඩිස් (Chandana Mendis),978-289-1737-32-0,Poetry
BK094,නෙවර් ලයි (Never Lie),ෆ්‍රීඩා මැක්ෆැඩන් - පරි. තරුෂි නිරංගා ජයසිංහ,978-624-6570-46-0,Thriller
BK095,ප්‍රේම ගීතය,සමුද්‍ර වෙත්තසිංහ (Samudra Weththasingha),978-573-6220-40-5,Non-fiction
BK096,පුද්ගලිකයි රහසිගතයි (The Secret Files of Sherlock Holmes),චන්දන මෙන්ඩිස් (පරිවර්තනය),955-97776-4-5,Mystery
BK097,පරණ කතාව,මාර්ටින් වික්‍රමසිංහ,978-528-5693-75-7,Children's
BK098,මාණික්කාවත (Manikkawatha),මහින්ද ප්‍රසාද් මසිඹුල,978-955-098-023-9,Novel
BK099,ගංගාව සහ ගංගාව,"ජේම්ස් හැඩ්ලි චේස් (James Hadley Chase), පරිවර්තනය: එන්. ජී. විජේරත්න (Translation: N. G. Wijerathna)",978-493-2631-22-5,Children's
BK100,රන් මතකය,ලසිත රවීන් උමගිලිය,978-825-3894-18-1,Young Adult
