Date,Book_ID,Book_Name,Author,ISBN,Category,Branch_Name,Current_Stock,Daily_Sales,Rating,View_Count,Search_Count,Cumulative_View_Count,Cumulative_Search_Count,Event_Score
2025-01-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,66,6,4.5,20,13,203,39,17
2025-01-02,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,60,6,4.5,22,11,225,50,10
2025-01-03,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,53,7,4.5,25,10,250,60,16
2025-01-04,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,44,9,4.4,44,14,294,74,9
2025-01-05,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,37,7,4.5,38,14,332,88,5
2025-01-06,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,31,6,4.5,29,7,361,95,8
2025-01-07,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,107,7,4.5,21,7,382,102,16
2025-01-08,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,102,5,4.5,19,8,401,110,0
2025-01-09,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,94,8,4.5,25,14,426,124,15
2025-01-10,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,87,7,4.4,30,9,456,133,11
2025-01-11,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,81,6,4.6,11,10,467,143,8
2025-01-12,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,75,6,4.5,31,9,498,152,14
2025-01-13,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,69,6,4.5,27,13,525,165,7
2025-01-14,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,62,7,4.5,22,6,547,171,7
2025-01-15,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,57,5,4.5,25,3,572,174,14
2025-01-16,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,51,6,4.5,23,8,595,182,15
2025-01-17,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,45,6,4.5,22,5,617,187,6
2025-01-18,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,39,6,4.5,23,4,640,191,19
2025-01-19,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,32,7,4.5,37,11,677,202,12
2025-01-20,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,28,4,4.4,19,5,696,207,12
2025-01-21,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,104,7,4.5,36,10,732,217,11
2025-01-22,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,98,6,4.5,23,14,755,231,17
2025-01-23,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,92,6,4.5,37,12,792,243,11
2025-01-24,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,86,6,4.5,27,11,819,254,11
2025-01-25,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,82,4,4.5,22,1,841,255,3
