Date,Book_Name,Author,ISBN,"
Branch_ID
",Branch_Name,Current_Stock,Daily_Sales,Review_Score,Event_Score,Branch_Demand_Score,Trend_Score,Trend_Label
14/10/2025,Ape Gama,Martine Wickramas+C21+C2+C2:C27,978-955-31-2954-3,BR-1,Galle,2,22,85,90,53,89.6,1
22/12/2025,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,BR-3,Kandy,91,2,54,96,31,218.2,1
08/04/2025,Gamperaliya,Martin Wickramasinghe,978-955-1234-02-9,BR-3,Kandy,63,20,65,56,66,1297.4,1
29/08/2025,Madol Duwa,Martin Wickramasinghe,978-955-1234-03-6,BR-2,Colombo,41,2,54,61,64,117.8,1
02/06/2025,Senkottan,Mahinda Prasad Masimbula,978-955-3031-15-8,BR-3,Kandy,59,13,61,60,22,795.6,1
18/03/2025,Malagiya Attho,Ediriweera Sarachchandra,978-955-9012-05-4,BR-1,Galle,25,22,74,100,86,602,1
01/02/2025,Amba Yaluwo,T. B. Ilangaratne,978-955-8877-66-5,BR-1,Kandy,89,18,87,57,52,1641.2,1
05/07/2025,Guru Geethaya,Chingiz Aitmatov (Trans.),978-955-6543-20-1,BR-1,Galle,48,20,69,15,97,996.2,1
13/07/2025,Sanda Gawa Gini,Sumithra Rahubadda,978-955-4422-33-7,BR-1,Kandy,73,20,44,59,36,1487.8,1
13/10/2025,Karumakkarayo,Gunadasa Amarasekara,978-955-5678-10-1,BR-3,Kandy,35,22,67,97,71,817,1
30/06/2025,Yali Upannemi,Gunadasa Amarasekara,978-955-5678-11-8,BR-3,Kandy,73,10,52,91,62,771,1
06/10/2025,Vilambitha,Mahinda Prasad Masimbula,978-955-3031-16-5,BR-3,Kandy,67,16,45,99,53,1111.4,1
29/05/2025,Kaliyugaya,Martin Wickramasinghe,978-955-1234-04-3,BR-3,Kandy,67,25,60,99,45,1715.8,1
16/10/2025,Yuganthaya,Martin Wickramasinghe,978-955-1234-05-0,BR-1,Galle,97,6,76,92,68,629.2,1
22/01/2025,Bavatharanaya,Martin Wickramasinghe,978-955-1234-06-7,BR-3,Colombo,57,13,59,4,79,769.4,1
23/03/2025,Lolita,Vladimir Nabokov (Trans.),978-955-3022-10-1,BR-3,Colombo,7,9,58,80,27,96,1
15/09/2025,Aprasanna Kathavak,Karunasena Jayalath,978-955-1100-33-5,BR-1,Kandy,35,9,61,100,46,356.4,1
17/08/2025,Golu Hadawatha,Karunasena Jayalath,978-955-1100-34-2,BR-1,Galle,91,17,78,30,46,1577.8,1
03/07/2025,Gahanu Lamai,Karunasena Jayalath,978-955-1100-35-9,BR-3,Colombo,86,12,56,12,79,1061.4,1
25/03/2025,Kulakumariya,T. B. Ilangaratne,978-955-8877-67-2,BR-2,Colombo,46,3,52,46,46,166.8,1
28/01/2025,Lasanda,T. B. Ilangaratne,978-955-8877-68-9,BR-2,Colombo,65,14,74,9,46,935.8,1
09/02/2025,Maname,Ediriweera Sarachchandra,978-955-9012-06-1,BR-3,Colombo,26,22,84,99,39,616.4,1
06/05/2025,Sinhabahu,Ediriweera Sarachchandra,978-955-9012-07-8,BR-3,Galle,22,15,97,99,81,385.4,1
11/04/2025,Walmath Vee Atharaman Veemi,Simon Navagattegama,978-955-7733-11-2,BR-3,Kandy,21,24,86,32,70,541.6,1
16/04/2025,Sansaranyaye Dadayakkara,Simon Navagattegama,978-955-7733-12-9,BR-3,Kandy,26,24,55,21,28,644.8,1
09/06/2025,Kavikandarawa,Mahinda Prasad Masimbula,978-955-3031-17-2,BR-2,Colombo,72,30,97,28,93,2203.6,1
15/02/2025,Dodamlu Iwura,Sumithra Rahubadda,978-955-4422-34-4,BR-1,Galle,71,18,46,19,90,1309,1
23/01/2025,Bumuthurunu,Sumithra Rahubadda,978-955-4422-35-1,BR-2,Galle,14,13,66,16,23,203,1
