Month,Book_ID,Book_Name,Author,ISBN,Category,Branch_Name,Current_Stock,Daily_Sales,Monthly_Sales,Rating,View_Count,Search_Count,Avg_Event_Score,CategoryScore,Branch_Demand_Score,Trend_Score,Trend_Label
2025-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Colombo,30.8,6.13,190,4.24,22.03,10.45,8.4,70,69.57,70.9,Moderate Demand
2025-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Galle,36.3,5.65,175,4.23,19.32,9.61,7.7,70,80.12,80.82,High Demand
2025-01,BK001,Ape Gama,Martin Wickramasinghe,978-955-31-2954-3,Novel,Kandy,35.5,6.42,199,4.22,22.29,10.19,9.2,70,80.13,85.2,High Demand
2025-01,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Colombo,37.6,4.97,154,3.92,17.74,8.26,9.7,70,52.82,65.88,Moderate Demand
2025-01,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Galle,34.6,4.23,131,3.92,17.03,8.29,9.1,70,36.85,51.86,Low Demand
2025-01,BK002,Viragaya,Martin Wickramasinghe,978-955-1234-01-2,Novel,Kandy,33.0,5.68,176,3.89,20.52,10.03,10.9,70,52.23,61.33,Moderate Demand
2025-01,BK003,Gamperaliya,Martin Wickramasinghe,978-955-1234-02-9,Novel,Colombo,35.0,7.45,231,4.69,25.39,12.26,8.8,70,85.11,81.14,High Demand
2025-01,BK003,Gamperaliya,Martin Wickramasinghe,978-955-1234-02-9,Novel,Galle,29.5,6.23,193,4.71,22.19,10.48,8.5,70,81.95,73.12,High Demand
2025-01,BK003,Gamperaliya,Martin Wickramasinghe,978-955-1234-02-9,Novel,Kandy,30.6,6.81,211,4.7,23.19,10.84,10.0,70,93.02,90.89,High Demand
2025-01,BK004,Madol Duwa,Martin Wickramasinghe,978-955-1234-03-6,Children's,Colombo,32.6,5.32,165,3.95,19.0,9.19,7.5,60,61.97,67.81,Moderate Demand
2025-01,BK004,Madol Duwa,Martin Wickramasinghe,978-955-1234-03-6,Children's,Galle,36.7,5.48,170,3.94,19.71,9.65,7.1,60,62.51,67.01,Moderate Demand
2025-01,BK004,Madol Duwa,Martin Wickramasinghe,978-955-1234-03-6,Children's,Kandy,32.6,6.06,188,3.94,20.87,10.16,6.3,60,80.96,80.18,High Demand
2025-01,BK005,Senkottan,Mahinda Prasad Masimbula,978-955-3031-15-8,Novel,Colombo,33.1,3.06,95,3.55,12.77,6.48,8.0,70,20.76,43.01,Low Demand
2025-01,BK005,Senkottan,Mahinda Prasad Masimbula,978-955-3031-15-8,Novel,Galle,34.3,2.52,78,3.54,10.65,5.03,8.5,70,4.85,44.69,Low Demand
2025-01,BK005,Senkottan,Mahinda Prasad Masimbula,978-955-3031-15-8,Novel,Kandy,35.2,3.29,102,3.54,13.1,6.19,8.7,70,5.44,41.11,Low Demand
2025-01,BK006,Malagiya Attho,Ediriweera Sarachchandra,978-955-9012-05-4,Novel,Colombo,33.3,7.55,234,3.77,23.97,11.1,7.2,70,100.0,86.33,High Demand
2025-01,BK006,Malagiya Attho,Ediriweera Sarachchandra,978-955-9012-05-4,Novel,Galle,32.8,6.71,208,3.78,24.68,11.32,8.7,70,98.52,87.85,High Demand
2025-01,BK006,Malagiya Attho,Ediriweera Sarachchandra,978-955-9012-05-4,Novel,Kandy,37.7,7.29,226,3.78,26.97,12.84,5.9,70,85.42,74.61,High Demand
2025-01,BK007,Amba Yaluwo,T. B. Ilangaratne,978-955-8877-66-5,Novel,Colombo,35.7,6.1,189,4.26,21.9,10.45,7.7,70,83.95,82.12,High Demand
2025-01,BK007,Amba Yaluwo,T. B. Ilangaratne,978-955-8877-66-5,Novel,Galle,27.9,5.61,174,4.25,21.32,10.16,8.2,70,67.22,75.21,High Demand
2025-01,BK007,Amba Yaluwo,T. B. Ilangaratne,978-955-8877-66-5,Novel,Kandy,30.0,7.52,233,4.28,25.68,11.65,8.7,70,100.0,83.99,High Demand
2025-01,BK008,Guru Geethaya,Chingiz Aitmatov (Trans.),978-955-6543-20-1,Translated Classic,Colombo,30.2,5.39,167,4.25,20.39,9.39,7.8,78,68.02,72.77,High Demand
2025-01,BK008,Guru Geethaya,Chingiz Aitmatov (Trans.),978-955-6543-20-1,Translated Classic,Galle,37.2,6.84,212,4.25,25.19,11.97,8.9,78,100.0,96.85,High Demand
2025-01,BK008,Guru Geethaya,Chingiz Aitmatov (Trans.),978-955-6543-20-1,Translated Classic,Kandy,33.4,6.58,204,4.24,23.1,11.45,9.8,78,96.38,83.88,High Demand
2025-01,BK009,Sanda Gawa Gini,Sumithra Rahubadda,978-955-4422-33-7,Novel,Colombo,29.2,2.87,89,4.25,11.55,5.48,10.6,70,0.0,44.03,Low Demand
2025-01,BK009,Sanda Gawa Gini,Sumithra Rahubadda,978-955-4422-33-7,Novel,Galle,31.3,2.61,81,4.25,9.52,4.97,9.6,70,20.68,46.94,Low Demand
2025-01,BK009,Sanda Gawa Gini,Sumithra Rahubadda,978-955-4422-33-7,Novel,Kandy,29.2,3.77,117,4.26,15.0,7.42,8.5,70,27.07,55.68,Moderate Demand
2025-01,BK010,Karumakkarayo,Gunadasa Amarasekara,978-955-5678-10-1,Novel,Colombo,35.2,5.55,172,4.38,20.81,9.81,8.1,70,70.47,75.31,High Demand
2025-01,BK010,Karumakkarayo,Gunadasa Amarasekara,978-955-5678-10-1,Novel,Galle,34.6,4.77,148,4.38,17.48,8.13,8.9,70,64.91,72.22,High Demand
2025-01,BK010,Karumakkarayo,Gunadasa Amarasekara,978-955-5678-10-1,Novel,Kandy,36.5,5.03,156,4.38,20.48,9.42,8.7,70,37.82,51.97,Low Demand
2025-01,BK011,Yali Upannemi,Gunadasa Amarasekara,978-955-5678-11-8,Novel,Colombo,33.9,4.39,136,3.91,15.55,7.45,11.1,70,20.96,47.33,Low Demand
